municipality,neighbourhood,origin,inhabitants
Amsterdam,Amstel III/Bullewijk,Afghanistan,9
Amsterdam,Amstel III/Bullewijk,Algerije,2
Amsterdam,Amstel III/Bullewijk,Angola,2
Amsterdam,Amstel III/Bullewijk,Argentinië,1
Amsterdam,Amstel III/Bullewijk,Australië,4
Amsterdam,Amstel III/Bullewijk,België,5
Amsterdam,Amstel III/Bullewijk,Brazilië,7
Amsterdam,Amstel III/Bullewijk,Bulgarije,1
Amsterdam,Amstel III/Bullewijk,Canada,3
Amsterdam,Amstel III/Bullewijk,China,3
Amsterdam,Amstel III/Bullewijk,Colombia,1
Amsterdam,Amstel III/Bullewijk,Congo (DR),1
Amsterdam,Amstel III/Bullewijk,Cuba,1
Amsterdam,Amstel III/Bullewijk,Denemarken,6
Amsterdam,Amstel III/Bullewijk,Dominicaanse Republiek,3
Amsterdam,Amstel III/Bullewijk,Duitsland,29
Amsterdam,Amstel III/Bullewijk,Ecuador,1
Amsterdam,Amstel III/Bullewijk,Egypte,4
Amsterdam,Amstel III/Bullewijk,El Salvador,1
Amsterdam,Amstel III/Bullewijk,Ethiopië,1
Amsterdam,Amstel III/Bullewijk,Filippijnen,1
Amsterdam,Amstel III/Bullewijk,Finland,2
Amsterdam,Amstel III/Bullewijk,Frankrijk,14
Amsterdam,Amstel III/Bullewijk,Ghana,7
Amsterdam,Amstel III/Bullewijk,Griekenland,2
Amsterdam,Amstel III/Bullewijk,Guatemala,1
Amsterdam,Amstel III/Bullewijk,Guyana,1
Amsterdam,Amstel III/Bullewijk,Ierland,4
Amsterdam,Amstel III/Bullewijk,India,28
Amsterdam,Amstel III/Bullewijk,Indonesië,14
Amsterdam,Amstel III/Bullewijk,Irak,10
Amsterdam,Amstel III/Bullewijk,Iran,2
Amsterdam,Amstel III/Bullewijk,Israël,1
Amsterdam,Amstel III/Bullewijk,Italië,11
Amsterdam,Amstel III/Bullewijk,Japan,2
Amsterdam,Amstel III/Bullewijk,Kenia,2
Amsterdam,Amstel III/Bullewijk,Libanon,1
Amsterdam,Amstel III/Bullewijk,Liberia,2
Amsterdam,Amstel III/Bullewijk,Marokko,38
Amsterdam,Amstel III/Bullewijk,Mexico,2
Amsterdam,Amstel III/Bullewijk,Ned. Antillen + Aruba,27
Amsterdam,Amstel III/Bullewijk,Nederland,276
Amsterdam,Amstel III/Bullewijk,Nieuw-Zeeland,1
Amsterdam,Amstel III/Bullewijk,Nigeria,1
Amsterdam,Amstel III/Bullewijk,Noorwegen,1
Amsterdam,Amstel III/Bullewijk,Pakistan,3
Amsterdam,Amstel III/Bullewijk,Polen,6
Amsterdam,Amstel III/Bullewijk,Portugal,1
Amsterdam,Amstel III/Bullewijk,Roemenië,3
Amsterdam,Amstel III/Bullewijk,Saoedi-Arabië,2
Amsterdam,Amstel III/Bullewijk,Singapore,1
Amsterdam,Amstel III/Bullewijk,Soedan,2
Amsterdam,Amstel III/Bullewijk,Somalië,1
Amsterdam,Amstel III/Bullewijk,Spanje,5
Amsterdam,Amstel III/Bullewijk,Sri Lanka,3
Amsterdam,Amstel III/Bullewijk,Suriname,57
Amsterdam,Amstel III/Bullewijk,Taiwan,1
Amsterdam,Amstel III/Bullewijk,Thailand,2
Amsterdam,Amstel III/Bullewijk,Turkije,26
Amsterdam,Amstel III/Bullewijk,Uganda,1
Amsterdam,Amstel III/Bullewijk,Venezuela,3
Amsterdam,Amstel III/Bullewijk,Ver. Staten v. Amerika,16
Amsterdam,Amstel III/Bullewijk,Verenigd Koninkrijk,15
Amsterdam,Amstel III/Bullewijk,Vietnam,2
Amsterdam,Amstel III/Bullewijk,Voorm. Tsjecho-Slowakije,3
Amsterdam,Amstel III/Bullewijk,Voormalig Joegoslavië,4
Amsterdam,Amstel III/Bullewijk,Voormalig Sovjet-Unie,11
Amsterdam,Amstel III/Bullewijk,Zambia,1
Amsterdam,Amstel III/Bullewijk,Zuid-Afrika,3
Amsterdam,Amstel III/Bullewijk,Zuid-Korea,2
Amsterdam,Amstel III/Bullewijk,Zweden,1
Amsterdam,Amstel III/Bullewijk,Zwitserland,2
Amsterdam,Apollobuurt,Afghanistan,3
Amsterdam,Apollobuurt,Albanië,2
Amsterdam,Apollobuurt,Algerije,1
Amsterdam,Apollobuurt,Angola,2
Amsterdam,Apollobuurt,Argentinië,14
Amsterdam,Apollobuurt,Australië,66
Amsterdam,Apollobuurt,België,102
Amsterdam,Apollobuurt,Brazilië,41
Amsterdam,Apollobuurt,Brunei,2
Amsterdam,Apollobuurt,Bulgarije,13
Amsterdam,Apollobuurt,Canada,48
Amsterdam,Apollobuurt,Chili,7
Amsterdam,Apollobuurt,China,37
Amsterdam,Apollobuurt,Colombia,15
Amsterdam,Apollobuurt,Congo,3
Amsterdam,Apollobuurt,Congo (DR),3
Amsterdam,Apollobuurt,Costa Rica,1
Amsterdam,Apollobuurt,Cyprus,5
Amsterdam,Apollobuurt,Denemarken,30
Amsterdam,Apollobuurt,Dominicaanse Republiek,6
Amsterdam,Apollobuurt,Duitsland,305
Amsterdam,Apollobuurt,Ecuador,7
Amsterdam,Apollobuurt,Egypte,13
Amsterdam,Apollobuurt,Eritrea,6
Amsterdam,Apollobuurt,Ethiopië,2
Amsterdam,Apollobuurt,Filippijnen,34
Amsterdam,Apollobuurt,Finland,13
Amsterdam,Apollobuurt,Frankrijk,225
Amsterdam,Apollobuurt,Ghana,8
Amsterdam,Apollobuurt,Gibraltar,3
Amsterdam,Apollobuurt,Grenada,1
Amsterdam,Apollobuurt,Griekenland,12
Amsterdam,Apollobuurt,Guatemala,5
Amsterdam,Apollobuurt,Guyana,1
Amsterdam,Apollobuurt,Haïti,2
Amsterdam,Apollobuurt,Hongarije,16
Amsterdam,Apollobuurt,Hongkong,10
Amsterdam,Apollobuurt,Ierland,33
Amsterdam,Apollobuurt,IJsland,3
Amsterdam,Apollobuurt,India,67
Amsterdam,Apollobuurt,Indonesië,342
Amsterdam,Apollobuurt,Irak,11
Amsterdam,Apollobuurt,Iran,21
Amsterdam,Apollobuurt,Israël,32
Amsterdam,Apollobuurt,Italië,123
Amsterdam,Apollobuurt,Ivoorkust,2
Amsterdam,Apollobuurt,Jamaica,2
Amsterdam,Apollobuurt,Japan,33
Amsterdam,Apollobuurt,Kaapverdië,1
Amsterdam,Apollobuurt,Kameroen,2
Amsterdam,Apollobuurt,Kanaaleilanden,1
Amsterdam,Apollobuurt,Kenia,15
Amsterdam,Apollobuurt,Laos,3
Amsterdam,Apollobuurt,Libanon,7
Amsterdam,Apollobuurt,Libië,2
Amsterdam,Apollobuurt,Malawi,7
Amsterdam,Apollobuurt,Maleisië,11
Amsterdam,Apollobuurt,Marokko,21
Amsterdam,Apollobuurt,Mauritius,1
Amsterdam,Apollobuurt,Mexico,12
Amsterdam,Apollobuurt,Monaco,2
Amsterdam,Apollobuurt,Ned. Antillen + Aruba,49
Amsterdam,Apollobuurt,Nederland,5161
Amsterdam,Apollobuurt,Nepal,1
Amsterdam,Apollobuurt,Nicaragua,1
Amsterdam,Apollobuurt,Nieuw-Zeeland,12
Amsterdam,Apollobuurt,Nigeria,8
Amsterdam,Apollobuurt,Noorwegen,4
Amsterdam,Apollobuurt,Oostenrijk,15
Amsterdam,Apollobuurt,Pakistan,5
Amsterdam,Apollobuurt,Peru,3
Amsterdam,Apollobuurt,Polen,48
Amsterdam,Apollobuurt,Portugal,30
Amsterdam,Apollobuurt,Puerto Rico,2
Amsterdam,Apollobuurt,Roemenië,20
Amsterdam,Apollobuurt,Saoedi-Arabië,7
Amsterdam,Apollobuurt,Senegal,3
Amsterdam,Apollobuurt,Singapore,20
Amsterdam,Apollobuurt,Soedan,1
Amsterdam,Apollobuurt,Spanje,102
Amsterdam,Apollobuurt,Sri Lanka,1
Amsterdam,Apollobuurt,Suriname,92
Amsterdam,Apollobuurt,Syrië,2
Amsterdam,Apollobuurt,Taiwan,11
Amsterdam,Apollobuurt,Tanzania,7
Amsterdam,Apollobuurt,Thailand,9
Amsterdam,Apollobuurt,Tunesië,1
Amsterdam,Apollobuurt,Turkije,88
Amsterdam,Apollobuurt,Uganda,1
Amsterdam,Apollobuurt,Uruguay,4
Amsterdam,Apollobuurt,Vanuatu,1
Amsterdam,Apollobuurt,Venezuela,8
Amsterdam,Apollobuurt,Ver. Arabische Emiraten,6
Amsterdam,Apollobuurt,Ver. Staten v. Amerika,361
Amsterdam,Apollobuurt,Verenigd Koninkrijk,329
Amsterdam,Apollobuurt,Vietnam,8
Amsterdam,Apollobuurt,Voorm. Tsjecho-Slowakije,26
Amsterdam,Apollobuurt,Voormalig Joegoslavië,49
Amsterdam,Apollobuurt,Voormalig Sovjet-Unie,186
Amsterdam,Apollobuurt,Zambia,4
Amsterdam,Apollobuurt,Zimbabwe,2
Amsterdam,Apollobuurt,Zuid-Afrika,57
Amsterdam,Apollobuurt,Zuid-Korea,13
Amsterdam,Apollobuurt,Zweden,28
Amsterdam,Apollobuurt,Zwitserland,37
Amsterdam,Banne Buiksloot,Afghanistan,249
Amsterdam,Banne Buiksloot,Albanië,3
Amsterdam,Banne Buiksloot,Algerije,28
Amsterdam,Banne Buiksloot,Angola,6
Amsterdam,Banne Buiksloot,Argentinië,7
Amsterdam,Banne Buiksloot,Australië,11
Amsterdam,Banne Buiksloot,Bangladesh,1
Amsterdam,Banne Buiksloot,België,68
Amsterdam,Banne Buiksloot,Bolivia,3
Amsterdam,Banne Buiksloot,Brazilië,32
Amsterdam,Banne Buiksloot,Bulgarije,78
Amsterdam,Banne Buiksloot,Burkina Faso,1
Amsterdam,Banne Buiksloot,Burundi,4
Amsterdam,Banne Buiksloot,Canada,12
Amsterdam,Banne Buiksloot,Chili,8
Amsterdam,Banne Buiksloot,China,138
Amsterdam,Banne Buiksloot,Colombia,35
Amsterdam,Banne Buiksloot,Congo,1
Amsterdam,Banne Buiksloot,Congo (DR),11
Amsterdam,Banne Buiksloot,Cuba,1
Amsterdam,Banne Buiksloot,Cyprus,1
Amsterdam,Banne Buiksloot,Denemarken,1
Amsterdam,Banne Buiksloot,Dominica,1
Amsterdam,Banne Buiksloot,Dominicaanse Republiek,24
Amsterdam,Banne Buiksloot,Duitsland,248
Amsterdam,Banne Buiksloot,Ecuador,17
Amsterdam,Banne Buiksloot,Egypte,346
Amsterdam,Banne Buiksloot,El Salvador,1
Amsterdam,Banne Buiksloot,Eritrea,20
Amsterdam,Banne Buiksloot,Ethiopië,114
Amsterdam,Banne Buiksloot,Filippijnen,57
Amsterdam,Banne Buiksloot,Finland,5
Amsterdam,Banne Buiksloot,Frankrijk,62
Amsterdam,Banne Buiksloot,Frans Guyana,2
Amsterdam,Banne Buiksloot,Gambia,4
Amsterdam,Banne Buiksloot,Ghana,225
Amsterdam,Banne Buiksloot,Griekenland,15
Amsterdam,Banne Buiksloot,Guinee,8
Amsterdam,Banne Buiksloot,Guyana,23
Amsterdam,Banne Buiksloot,Haïti,1
Amsterdam,Banne Buiksloot,Hongarije,28
Amsterdam,Banne Buiksloot,Hongkong,88
Amsterdam,Banne Buiksloot,Ierland,17
Amsterdam,Banne Buiksloot,IJsland,4
Amsterdam,Banne Buiksloot,India,65
Amsterdam,Banne Buiksloot,Indonesië,275
Amsterdam,Banne Buiksloot,Irak,147
